DATE_TIME,OPEN,LOW,HIGH,CLOSE,RSI,MACD,MACD_Histogram,MACD_Signal,EMA,Stochastic_%K,Stochastic_%D,ADX,DI+,DI-,ATR,CCI,WilliamsR,Momentum,ROC,BC-BO,BH-BL,BH-BO,BO-BL,S&P500_Close,vix_close,CLOSE_15m_tick_1,CLOSE_15m_tick_2,CLOSE_15m_tick_3,CLOSE_15m_tick_4,CLOSE_15m_tick_5,CLOSE_15m_tick_6,CLOSE_15m_tick_7,CLOSE_15m_tick_8,CLOSE_30m_tick_1,CLOSE_30m_tick_2,CLOSE_30m_tick_3,CLOSE_30m_tick_4,CLOSE_30m_tick_5,CLOSE_30m_tick_6,CLOSE_30m_tick_7,CLOSE_30m_tick_8,day_of_month,hour_of_day,day_of_week
2011-06-23 12:00:00,0.6310222887001004,0.578515050522665,0.6202605592708046,0.582883537441991,-2.282326234000019,-1.9850279955838375,-2.0260360549899095,-1.4690495566601875,0.6564010892845206,-1.6264196768393862,-2.3233522565418183,1.2058137096153239,-2.0241732207215724,2.3327777352182157,0.9673512932320314,-1.688483418986544,-1.4292855650635317,-2.4425176439317338,-2.318664823483478,-2.934233915828543,2.500279086989639,-0.7798107427458137,4.088805467958801,0.2578838007851674,-0.2180737548230133,0.6507185725248257,0.6493177909193364,0.6581589516067964,0.6730447107374368,0.6811887402009309,0.682692475294257,0.674115776195641,0.6683261489194384,0.6493177909193364,0.6730447107374368,0.682692475294257,0.6683261489194384,0.6796014752134631,0.6682300335224215,0.7017229106385007,0.6921627712870627,0.8206482531693015,0.07271980580395482,0.6344184367541028
2011-06-23 13:00:00,0.5831469099708615,0.5590907443691235,0.5830291092837607,0.5597613639275041,-2.4456455219772115,-2.2831693225429834,-2.428574869801048,-1.6586226355608331,0.6388803892292854,-1.5754190047025471,-2.4849533615653066,1.3613318175701603,-2.096774353821918,2.375022955082527,1.0570391072720056,-1.6346921729716684,-1.5353978541439097,-2.749615074748872,-2.6112887135064575,-1.4258299344706902,1.4600750661869581,0.03319095738342086,1.8969072412677046,0.2578838007851674,-0.2180737548230133,0.6306725004026007,0.6328090954169978,0.6360260093284006,0.6515465058074952,0.6507123392811436,0.6493131325029328,0.6581514730259964,0.6730429529191506,0.6328090954169978,0.6515465058074952,0.6493131325029328,0.6730429529191506,0.6826853597951833,0.6683207394122513,0.6795919142026442,0.6682168431391395,0.8206482531693015,0.21711811772106634,0.6344184367541028
2011-06-23 14:00:00,0.5601159512639927,0.5543708195093838,0.5695315763200881,0.5624816196350904,-2.3669037738925267,-2.479333143980716,-2.4740227133109167,-1.8518146445903747,0.6250400064489454,-1.559298569419458,-2.377426673338925,1.4996310101951635,-2.1485836587329947,2.0771569251867987,1.092280618200582,-1.3304126829627125,-1.378017860660147,-2.704504717679708,-2.5684179553274524,0.1433522292861966,0.9478933909694727,0.7628078677559231,0.4868325858804633,0.2578838007851674,-0.2180737548230133,0.6301282631504119,0.639521422159706,0.627499384024429,0.6344023676988081,0.6306668493904519,0.6328048705789608,0.6360191436317161,0.651545211612773,0.639521422159706,0.6344023676988081,0.6328048705789608,0.651545211612773,0.649306844322449,0.673037445683475,0.6826757415748538,0.6683075474124257,0.8206482531693015,0.36151642963817787,0.6344184367541028
2011-06-23 15:00:00,0.5622014317768189,0.5606337967271151,0.5717056755894047,0.5784404531195986,-1.9116503790081079,-2.537018022323875,-2.135315307991904,-2.018620409132955,0.6166185048552135,-1.419988625387485,-2.0849704112923293,1.6131520662313674,-2.127707542269287,1.710868593239703,1.1036408304535446,-0.9889885187550124,-1.0412888373721358,-2.2950414765902307,-2.180856291253336,0.9887214935636744,0.710283335456182,0.7697566002357306,0.16572647623766878,0.2578838007851674,-0.2180737548230133,0.5833238594623187,0.5700397696608581,0.5971119427815498,0.6204330699806192,0.6301226279454542,0.6395170210315639,0.6274927544388382,0.6344014432292063,0.5700397696608581,0.6204330699806192,0.6395170210315639,0.6344014432292063,0.6327989915614753,0.6515401497934779,0.6492978453109398,0.6730241696233811,0.8206482531693015,0.5059147415552895,0.6344184367541028
2011-06-23 16:00:00,0.578159891353232,0.5843241888115743,0.5883737699874977,0.5988423709264992,-1.3840551028652561,-2.466630468949035,-1.5175951421536191,-2.1372135964577184,0.61343870121948,-1.093101783880421,-1.5681808705555018,1.6543280483705245,-1.6747837616638848,1.439281194831508,1.0781216054730651,-0.63658580776908,-0.6249745120671389,-1.9272185651030225,-1.8315762097117192,1.2594606697048274,0.3037061293556624,0.825346460073705,-0.4276217698411503,0.2578838007851674,-0.2180737548230133,0.562552137670508,0.5748472469225291,0.5845034223852504,0.5940365398767651,0.5833195836757827,0.5700371933735341,0.5971061546557078,0.620432446768523,0.5748472469225291,0.5940365398767651,0.5700371933735341,0.620432446768523,0.639510975651101,0.6343967366153792,0.632790298789111,0.6515272568542226,0.8206482531693015,0.650313053472401,0.6344184367541028
2011-06-23 17:00:00,0.5986520042183981,0.6012977647494822,0.5993348538036339,0.595396713696889,-1.4255488103268799,-2.3980530933522135,-1.0282935351167906,-2.2175960493310614,0.6102103788002166,-0.8479671797636243,-1.0353885903251825,1.655943731565995,-1.3958925855025914,1.236248453465101,1.0225051306399253,-0.4612071261944466,-0.6952853758964334,-1.4101844725408637,-1.3440264437332918,-0.19921570787199705,-0.04478861873055004,0.09572954970120284,-0.1553796334050561,0.2578838007851674,-0.2180737548230133,0.5612822507487378,0.5629646144455707,0.5667245015386685,0.5718126571432804,0.56254846519176,0.5748445443733728,0.5844979834024088,0.5940364859239815,0.5629646144455707,0.5718126571432804,0.5748445443733728,0.5940364859239815,0.5700328700747013,0.6204280295813737,0.6395021583639195,0.6343841492028689,0.8206482531693015,0.7947113653895125,0.6344184367541028
2011-06-23 18:00:00,0.5951157546531712,0.5885902747424919,0.6165464730190555,0.6255915520511012,-0.7193135365338388,-2.1887938795845385,-0.2557396394862887,-2.2376136346563427,0.6130605875516182,-0.5025083992725171,-0.5493413045074478,1.6050135790297553,-1.0502665163737355,0.7869636275331535,1.1272076334885457,-0.24522110416519255,-0.07914017444505139,-1.068386767055141,-1.0179154759742435,1.8561919150771649,1.6976851217003015,1.6869892875611618,0.5496576942887391,0.2578838007851674,-0.2180737548230133,0.5786071366100294,0.5821945234922503,0.565001034721909,0.5523100661730813,0.5612786151534354,0.5629622239775466,0.5667195548725754,0.5718130824638012,0.5821945234922503,0.5523100661730813,0.5629622239775466,0.5718130824638012,0.574840101922678,0.5940326156404891,0.5700253416841404,0.6204156911165813,0.8206482531693015,0.9391096773066241,0.6344184367541028
2011-06-23 19:00:00,0.6254005586220451,0.6245343179051193,0.6558614348058606,0.6634031063865555,-0.02076936736215672,-1.839530816036799,0.7420700677119341,-2.179657591041667,0.6222693992387968,-0.02949560752316206,-0.13435525339539411,1.457817880758132,-0.16651185562280701,0.3813551504376591,1.2370928259180745,0.36628649762145044,0.6924290417868484,0.21205336821621093,0.19945320612414721,2.314790927724424,1.8983336130226358,2.3818625355350433,0.11686250303117783,0.2578838007851674,-0.2180737548230133,0.5988346211496514,0.58663917228134,0.5778816814576965,0.58215356584376,0.5786029978191484,0.582191627976898,0.5649961357803986,0.5523109120803794,0.58663917228134,0.58215356584376,0.582191627976898,0.5523109120803794,0.5629580760342845,0.5718096726318416,0.5748324843525859,0.5940207475898914,0.8206482531693015,1.0835079892237356,0.6344184367541028
2011-06-23 20:00:00,0.6632112270502514,0.6684659262149971,0.6553179099885319,0.6606828506789691,-0.06640297650177258,-1.556713696453144,1.3607331694911173,-2.0733736860581895,0.6293091460816349,0.5161795973924491,0.26849599811537905,1.3128248682290227,-0.22197053571200157,0.3130645963095187,1.118171191194218,0.6635665384917023,0.8244926655117031,0.5868163346371393,0.5573976281140697,-0.15501339339997203,-0.688975880344255,-0.5574513033941801,-0.3508355262308804,0.2578838007851674,-0.2180737548230133,0.5955691976365292,0.5958005912139573,0.5977469042403543,0.6012026081867462,0.5988298948581733,0.5866361600333505,0.5778764258377255,0.5821537681554779,0.5958005912139573,0.6012026081867462,0.5866361600333505,0.5821537681554779,0.5821870034261873,0.5523079063181321,0.5629506788890716,0.5717982006344317,0.8206482531693015,1.227906301140847,0.6344184367541028
2011-06-23 21:00:00,0.6604003620112258,0.6657428926420711,0.6602096333444937,0.667483489947936,0.053223710309438864,-1.2887605169455274,1.8157646029312264,-1.9315716791905029,0.6363057775697294,1.0091465822541068,0.6146211898077573,1.1572354713123254,-0.17619982596504422,0.19032063489532533,1.0425006287997727,0.7412744432552315,1.2938384618992333,0.6891821449094957,0.6549973880596367,0.430667273354359,-0.24543711005277893,0.03319095738342086,-0.3578160938317379,0.2578838007851674,-0.2180737548230133,0.6244137720024477,0.5840993729732896,0.5874968121196231,0.5900453119572823,0.5955645661881969,0.5957973383537973,0.5977410985317714,0.6012023996927747,0.5840993729732896,0.5900453119572823,0.5957973383537973,0.6012023996927747,0.5866314253233712,0.582150144072601,0.5821792495628496,0.5522967818776012,0.8206482531693015,1.3723046130579586,0.6344184367541028
2011-06-23 22:00:00,0.6677448803390066,0.6786319182205889,0.668090743195765,0.6738307532656375,0.1663093335064442,-1.0374375806002007,2.135027545555731,-1.7648811942155962,0.6431846769507109,1.2810781096653152,0.860184252128259,0.9811521755404742,-0.0070711769264689955,0.10250425245222868,0.9425709722245487,0.8972794328896597,1.4497945229434321,1.7353954261678064,1.6593941261971357,0.3698890909553247,-0.5358494001246316,0.07488335226184951,-0.7836307174882525,0.2578838007851674,-0.2180737548230133,0.6621475548207562,0.6441474851850864,0.6394729429619216,0.6470110195353561,0.624408302772995,0.5840964274296643,0.5874912902467166,0.5900453440780717,0.6441474851850864,0.6470110195353561,0.5840964274296643,0.5900453440780717,0.5957923765808354,0.6011983809371556,0.5866235890110328,0.582138487789218,0.8206482531693015,1.5167029249750703,0.6344184367541028
2011-06-23 23:00:00,0.6740919949432611,0.6713704953594527,0.6662789938046682,0.6656699861428764,0.004455733973525202,-0.8634539388523798,2.180670984181055,-1.5946822185196512,0.6473286610133122,1.4709409014846286,1.0162990068808984,0.826625643952035,-0.12656011080938134,0.21337226051248617,0.8768007052422017,0.7758542096817375,1.353285799757302,2.021672692183767,1.9370462463167324,-0.514157198485175,-0.21903599277357724,-0.5505025709145115,0.2634544226507205,0.2578838007851674,-0.2180737548230133,0.6604241368554976,0.6646472938857921,0.6593381657445794,0.6654250938002426,0.6621409896260642,0.6441429625597096,0.6394659818160716,0.6470098231515123,0.6646472938857921,0.6654250938002426,0.6441429625597096,0.6470098231515123,0.5840917556678384,0.5900415564879159,0.595784370322598,0.6011863851796115,0.8206482531693015,1.6611012368921818,0.6344184367541028
