DATE_TIME,OPEN,HIGH,LOW,CLOSE,day_of_week,day_of_month,hour_of_day,dow_sin,dow_cos,dom_sin,dom_cos,hod_sin,hod_cos
2005-05-02 00:00:00,1.2852,1.2852,1.284,1.2844,0,2,0,0.0,1.0,0.39435585511331855,0.9189578116202306,0.0,1.0
2005-05-02 01:00:00,1.2844,1.2848,1.2839,1.2842,0,2,1,0.0,1.0,0.39435585511331855,0.9189578116202306,0.25881904510252074,0.9659258262890683
2005-05-02 02:00:00,1.2843,1.2854,1.2841,1.2851,0,2,2,0.0,1.0,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387
2005-05-02 03:00:00,1.2851,1.2859,1.285,1.2851,0,2,3,0.0,1.0,0.39435585511331855,0.9189578116202306,0.7071067811865475,0.7071067811865476
2005-05-02 04:00:00,1.2852,1.2859,1.2849,1.2855,0,2,4,0.0,1.0,0.39435585511331855,0.9189578116202306,0.8660254037844386,0.5000000000000001
2005-05-02 05:00:00,1.2854,1.2858,1.2853,1.2854,0,2,5,0.0,1.0,0.39435585511331855,0.9189578116202306,0.9659258262890683,0.25881904510252074
2005-05-02 06:00:00,1.2854,1.286,1.2852,1.28585,0,2,6,0.0,1.0,0.39435585511331855,0.9189578116202306,1.0,6.123233995736766e-17
2005-05-02 07:00:00,1.28585,1.28605,1.28515,1.28555,0,2,7,0.0,1.0,0.39435585511331855,0.9189578116202306,0.9659258262890683,-0.25881904510252063
2005-05-02 08:00:00,1.28555,1.28675,1.28555,1.2864,0,2,8,0.0,1.0,0.39435585511331855,0.9189578116202306,0.8660254037844387,-0.4999999999999998
2005-05-02 09:00:00,1.2864,1.2868,1.2862,1.2868,0,2,9,0.0,1.0,0.39435585511331855,0.9189578116202306,0.7071067811865476,-0.7071067811865475
2005-05-02 10:00:00,1.2867,1.2874,1.2865,1.28715,0,2,10,0.0,1.0,0.39435585511331855,0.9189578116202306,0.49999999999999994,-0.8660254037844387
2005-05-02 11:00:00,1.28725,1.28735,1.2858,1.286,0,2,11,0.0,1.0,0.39435585511331855,0.9189578116202306,0.258819045102521,-0.9659258262890682
2005-05-02 12:00:00,1.286,1.2872,1.2858,1.2859,0,2,12,0.0,1.0,0.39435585511331855,0.9189578116202306,1.2246467991473532e-16,-1.0
