DATE_TIME,typical_price,RSI,MACD,MACD_Signal,MACD_Histogram,EMA,Stochastic_%K,Stochastic_%D,ADX,DI+,DI-,ATR,CCI,BB_MID_20_2,BB_UP_20_2,BB_LOW_20_2,BB_WIDTH_20_2,WilliamsR,Momentum,ROC
2012-10-09 08:00:00,0.7537737586648952,-1.0234870557629636,-0.6340995702083905,-0.4212708134290452,-0.7768187894230385,0.7909874958459451,-0.7902978917980674,-0.014704280246719187,0.28297770396986405,-1.4633815379655744,2.3972186247992,-0.16947143510108476,-2.6645987941386404,0.7913755397866754,0.7883504903983816,0.7939236746733638,-0.2233285616740982,-0.9243431743959446,-2.1338655256293513,-0.8358516407540694
2012-10-09 09:00:00,0.7610454207606199,-0.8605668832971669,-0.7386033839331857,-0.4941369458348737,-0.8942887193384796,0.7881902676209748,-0.8697820443391421,-0.5638631603856581,0.38401228382407615,-1.0046145410300138,1.9587060991882326,-0.1264200703353648,-1.669018595608571,0.7897085803713286,0.7894507616285016,0.7895088462251503,-0.10959291894101658,-0.5111868156453763,-1.9483101175348636,-0.6262558197698158
2012-10-09 10:00:00,0.7552398195712928,-0.9802451723293231,-0.8689385749832121,-0.5801491677041832,-1.055731520425319,0.784796446069424,-0.8577339201644755,-0.865943631643405,0.4955173747497146,-1.1586559323227754,1.8452535981001041,-0.0667926270785764,-1.5173284974808807,0.7879800446187388,0.7917106581519859,0.7838193951605703,0.054250681542286065,-0.9410363606081044,-1.8839337514612526,-0.8378866642237679
2012-10-09 11:00:00,0.7690794345276716,-0.30574330251253823,-0.8200303600406519,-0.6385572858215417,-0.7167346009560334,0.7838623891494938,-0.4797240241846815,-0.759130647331244,0.4689326940762324,-0.5279823274575821,1.2711607828737732,0.10532681740745876,-0.7508095065881147,0.786884865477787,0.7908092851968626,0.7825323306207752,0.06233896672614266,0.1231542604160581,0.9978553415986289,-0.4828410254290935
2012-10-09 12:00:00,0.7677893009300425,-0.5761987752149405,-0.8668512467581211,-0.6952415126920856,-0.6955640595239698,0.7815845490750625,-0.5083383190995069,-0.6348224328300505,0.412764264001683,-0.5426616977194212,0.8518475329540526,0.21775800321430439,-0.6899228893808348,0.785094753387956,0.7906489260044107,0.7791243352074091,0.12942461599841798,-0.5904794501531138,0.3048626950414463,-0.9677871372038073
2012-10-09 13:00:00,0.7474990179855222,-0.9212124230981982,-0.9693358711566469,-0.7623850312125184,-0.8240111803218727,0.7783757776650368,-0.531961393653097,-0.5227823052076288,0.47407733800121,-0.8190926658787321,1.8987355610407444,0.41579046379583284,-1.1860708562794935,0.782834022149204,0.7915690657795389,0.7737051876144998,0.26020445269185416,-1.0064979007964097,-0.5888327398627629,-1.1494021978680258
2012-10-09 14:00:00,0.733776687901656,-1.3195248763467469,-1.175653703958289,-0.8599789330687791,-1.1979623232485779,0.7733947102152756,-1.1374937482646572,-0.7490033577355545,0.5620763291315549,-1.0521587498695695,1.8384157618988617,0.611237263900494,-1.326992086828488,0.7797552052870844,0.7954253383382374,0.7637391701264208,0.5451050267364471,-1.5548271757767842,-1.1379252740199954,-1.7009078243181601
2012-10-09 15:00:00,0.7105836043624684,-1.4443191580157364,-1.4410608918709418,-0.9945000967660601,-1.6514538809167487,0.767111766499827,-1.4285736667107574,-1.0654919422492242,0.7058008164154529,-1.240428280569847,2.52033855612925,0.7800081114764124,-1.591119390020297,0.775519632946772,0.8003692293969011,0.7503876138022186,0.9222268894881918,-1.3970865552588352,-2.9063819185127975,-2.253562745362684
2012-10-09 16:00:00,0.7103197133993192,-1.500719111655805,-1.6330423946566548,-1.1429471050681546,-1.8224725984400785,0.7614188197742421,-1.5705093241383512,-1.4226707501727514,0.8392592688933578,-1.29123740543821,2.3371599246710035,0.6477360165337703,-1.3468736439857087,0.7714116115907474,0.8031878479304501,0.7394013792516818,1.2069098629291675,-1.3998136278315227,-2.2626182577765737,-2.175740022064978
2012-10-09 17:00:00,0.6998813597457819,-1.7013434428423693,-1.8200620121199094,-1.3014795094644298,-1.9463280308885504,0.7554301982426722,-1.5818340817440153,-1.5754888782203842,0.9918460893235717,-1.3661388875116354,2.7576306767166696,0.5850214078240831,-1.346616119697249,0.7668857508034358,0.8055816139759358,0.7280045128834907,1.4913575130333616,-1.5862090381776417,-2.1225049904400044,-2.4767770263807356
